country,tertiary_f,tertiary_m,ceo_f,ceo_m,exec_f,exec_m,pay_gap,q1_agree,q1_disagree,q2_agree,q2_disagree,q3_agree,q3_disagree
Belgium,36.5,30,5.75,94.25,16.8,83.2,6.1,70.1,29.9,96.8,3.2,53.4,46.6
Bulgaria,29.9,19,13.3,86.7,26.1,73.9,14.4,62.9,37.1,92,8,72.5,27.5
Czech Republic,21.8,19.4,0,100,6.95,93.05,21.8,63.4,36.6,90.9,9.1,54.9,45.1
Denmark,35.2,27.4,5.6,94.4,10.2,89.8,15,72.2,27.8,96.2,3.8,30.1,69.9
Germany,22.1,26.8,0,100,10.05,89.95,21.5,70.1,29.9,93.2,6.8,60.4,39.6
Estonia,42.6,25.4,3.15,96.85,29.3,70.7,25.3,55.6,44.4,82.9,17.1,56.8,43.2
Ireland,41.7,34.3,10.5,89.5,11.4,88.6,13.9,75.5,24.5,93.5,6.5,50.6,49.4
Greece,28.2,24.7,0,100,16.55,83.45,12.5,78.2,21.8,98,2,74.8,25.2
Spain,35.4,30,2.9,97.1,11.8,88.2,14.2,87.7,12.3,98,2,66,34
France,33.2,28.5,1.45,98.55,14.6,85.4,15.2,78.9,21.1,95.3,4.7,47.8,52.2
Croatia,22.6,17.4,6.15,93.85,20.85,79.15,8.7,67.1,32.9,90,10,65.5,34.5
Italy,17.9,13.4,0,100,9.5,90.5,5.3,69.4,30.6,91.7,8.3,72.7,27.3
Cyprus,42.5,32.3,5.9,94.1,16.55,83.45,13.9,86.9,13.1,98.2,1.8,70.1,29.9
Latvia,37.5,21,0,100,23.9,76.1,17,54.9,45.1,84.7,15.3,73.9,26.1
Lithuania,41,26.7,14.05,85.95,20.2,79.8,14.4,67.3,32.7,79.4,20.6,65.8,34.2
Luxembourg,36.4,36.5,11.1,88.9,9.75,90.25,5.5,77.5,22.5,97.3,2.7,62.2,37.8
Hungary,23.6,17.5,19.4,80.6,11.9,88.1,14,67.9,32.1,91.6,8.4,73.7,26.3
Malta,20.2,17.5,4.5,95.5,13.85,86.15,11,91.7,8.3,97.1,2.9,77.7,22.3
Netherlands,31.4,30.6,4.65,95.35,11.1,88.9,15.6,67.9,32.1,97.1,2.9,45.1,54.9
Austria,28.9,28.9,5,95,6.05,93.95,20.1,70.3,29.7,92.9,7.1,70.6,29.4
Poland,30.1,20.3,0,100,11.2,88.8,7.2,57.6,42.4,84.7,15.3,66.2,33.8
Portugal,25.4,17.2,5.9,94.1,10.65,89.35,17.5,78.7,21.3,97,3,77.5,22.5
Romania,16,14.2,33.3,66.7,23.3,76.7,5.2,66.4,33.6,90.2,9.8,59.8,40.2
Slovenia,33.2,21.4,10,90,19.05,80.95,7.8,67.3,32.7,96,4,57.2,42.8
Slovakia,22.7,16.8,10,90,12.9,87.1,19,63.4,36.6,91.4,8.6,56,44
Finland,41.9,30,0,100,16,84,17.4,71.6,28.4,97.5,2.5,25.5,74.5
Sweden,41.5,29.4,11.5,88.5,24.5,75.5,13.3,83.7,16.3,97.9,2.1,26.8,73.2
United Kingdom,40,36.7,6,94,16.65,83.35,21,,,,,,
Iceland,40.1,27,3.15,96.85,15.75,84.25,16.3,,,,,,
Norway,41.3,32.6,0,100,18.9,81.1,14.9,,,,,,
Montenegro,23,19.4,20,80,24.3,75.7,: ,,,,,,
"Former Yugoslav Republic of Macedonia, the",19.7,16.2,0,100,27.7,72.3,: ,,,,,,
Turkey,14.5,17.5,4,96,10.15,89.85,: ,,,,,,
